ABATACEPT	3400926884376
BUPRENORPHINE	3400938871043;3400949937424;3400938197464;3400949935871;3400938871272;3400938870381;3400938197693;3400922415932;3400938197815;3400938971200;3400933944421;3400938970548;3400938970777;3400933943998;3400938871562;3400938201000;3400938960433;3400938971088;3400932952724;3400938200867;3400937162715;3400937156912;3400938870503;3400937050432;3400937049771;3400938970319;3400938201239;3400937464215;3400937157223;3400938874235;3400938873573;3400938873863;3400933951405;3400938870152;3400938871043;3400949937424;3400938197464;3400949935871;3400938871272;3400938870381;3400938197693;3400922415932;3400938197815;3400938971200;3400933944421;3400938970548;3400938970777;3400933943998;3400938871562;3400938201000;3400938960433;3400938971088;3400932952724;3400938200867;3400937162715;3400937156912;3400938870503;3400937050432;3400937049771;3400938970319;3400938201239;3400937464215;3400937157223;3400938874235;3400938873573;3400938873863;3400933951405;3400938870152;3400937761550;3400937761611;3400937761321;3400937761499
BUSPIRONE	3400937665537;3400932899524;3400934802591
CABERGOLINE	3400934042874;3400938503548;3400926944902
CAFEINE	3400934535932;3400934535932;3400937051323;3400933724467;3400936970366;3400936969247;3400936969995;3400937015653;3400937356473;3400936853690;3400938324747;3400936969537;3400936672598;3400937356305;3400936853812;3400936968646;3400937015943;3400936853751;3400933920937;3400931825043;3400934318351;3400930467879;3400931050308;3400935154958;3400935173010
CANDESARTAN CILEXETIL	3400922115344;3400937204569;3400939686820;3400941572180;3400937204279;3400937204040;3400939691961;3400922315317;3400937203739;3400922208695;3400941595363;3400949942565;3400921738681;3400939687421;3400926629984;3400922206745;3400937153430;3400926630126;3400941575891;3400941571640;3400941565328;3400939695693;3400941564895;3400922203904;3400934572661;3400922313993;3400926690557;3400926690496;3400922315836;3400937202909;3400939695006;3400937153089;3400922314594;3400926691158;3400941594304;3400926690618;3400926794736;3400941565908;3400941566448;3400936951037;3400922117706;3400937153201;3400922312583;3400941567339;3400922313016;3400921839968;3400921840049;3400937205689;3400926690328;3400921720822;3400941593871;3400939699837;3400926630294;3400937203388;3400937152778;3400941569340;3400921739404;3400922118246;3400949622108;3400921719932;3400922203492;3400926630065;3400941593062;3400941592522;3400941570230;3400949617135;3400949617593;3400941570810;3400922287010;3400922206226;3400921720471;3400921719123;3400922115924;3400922201252;3400949945528;3400926690267;3400922200712;3400922116693;3400922118994;3400949622795;3400949944118;3400949945009;3400941591051;3400935085788;3400926690038;3400922017198;3400941567919;3400922117126;3400941591570;3400921718812;3400922020389;3400926630584;3400937203159;3400939691381;3400921721362;3400922016887;3400949621217;3400921719642;3400949621736;3400949943807;3400922015767;3400922016078;3400922328553;3400941568800;3400922019031;3400926630416;3400922328492;3400922018720;3400926630355;3400949620906;3400941601439;3400937141192;3400941599675;3400937141772;3400941579974;3400941600258;3400922355177;3400922351445;3400927414046;3400937201728;3400926990626;3400941580406;3400949208494;3400937140942;3400935393203;3400937202787;3400941602269;3400949209095;3400937201957;3400922356877;3400922090818;3400921728408;3400922356358;3400941602788;3400921729177;3400927402210;3400941586378;3400922091129;3400922352046;3400926991975;3400922104928;3400921729696;3400927410772;3400941691447;3400926990916;3400937142083;3400941585777;3400922090467;3400922339788;3400922105529;3400922090009;3400921728118;3400922340210;3400921725094;3400927410253;3400927413445;3400922355757;3400949206254;3400941600838;3400926991746;3400949206773;3400941691966;3400927401497;3400941590450;3400941689727;3400922104638;3400927402159;3400941589850;3400921724325;3400927401619;3400921724783;3400921723953;3400922105239;3400935556844
CAPECITABINE	3400936574564;3400926967505;3400927480331;3400936574625;3400927626883;3400927449864;3400927626654;3400927642791;3400927443190;3400926967444
CAPTOPRIL	3400936739178;3400935763730;3400934857881;3400932683642;3400935149237;3400934857713;3400934751981;3400934751691;3400936739239;3400935021045;3400934814549;3400936042018;3400935021274;3400934670176;3400937228404;3400935149176;3400936796478;3400934753183;3400937228572;3400932683581;3400935764102;3400934803833;3400934814020;3400934804434;3400936739468;3400936808638;3400934670008;3400934752872;3400934669927;3400936161153;3400936161092;3400937293686;3400934670237;3400936739178;3400935763730;3400934857881;3400932683642;3400935149237;3400934857713;3400934751981;3400934751691;3400936739239;3400935021045;3400934814549;3400936042018;3400935021274;3400934670176;3400937228404;3400935149176;3400936796478;3400934753183;3400937228572;3400932683581;3400935764102;3400934803833;3400934814020;3400934804434;3400936739468;3400936808638;3400934670008;3400934752872;3400934669927;3400936161153;3400936161092;3400937293686;3400934670237;3400938630558;3400938756678;3400939748955;3400938760989;3400936313798;3400939835464;3400936646865;3400936038165;3400937996303;3400937908825;3400937424004;3400936646117;3400937385688;3400938459333;3400937243599;3400939890524;3400938369922;3400932912803;3400932912971;3400937807838;3400936318991;3400937331869;3400937200776;3400936190948;3400937222778
CARBAMAZEPINE	3400937665766;3400934436895;3400935306326;3400932956395;3400935305145;3400934837371;3400937665827;3400934436376;3400933148744;3400931035459;3400932984312
CARBUTAMIDE	3400930445419;3400930445587
CARPIPRAMINE	3400932043705
CARTEOLOL	3400935231581;3400935813800;3400936006638;3400934380792;3400934380563;3400934380914;3400935231642;3400936009011;3400932874279;3400935789525;3400935788924;3400935813978;3400935231581;3400935813800;3400936006638;3400934380792;3400934380563;3400934380914;3400935231642;3400936009011;3400932874279;3400935789525;3400935788924;3400935813978;3400933841591
CARVEDILOL	3400938800593;3400937052092;3400937676304;3400938801316;3400937405362;3400941529597;3400937052153;3400938799613;3400941529368;3400934234453;3400937675871;3400936831179;3400937405942;3400934234743;3400934263958;3400937723411;3400937051903;3400937677073
CELECOXIB	3400927861055;3400930001370;3400927891960;3400927738357;3400927609565;3400927858444;3400927810947;3400927891380;3400927842825;3400927861284;3400927738067;3400922497556;3400927842535;3400935436818;3400922495194;3400927811609;3400927952456;3400927605772;3400927859274;3400935437068;3400930001332
CELIPROLOL	3400936853461;3400936524248;3400937573474;3400939082660;3400937377645;3400936141452;3400935830609;3400937812399;3400937315081;3400935836113;3400937239349;3400937847520;3400937287425;3400937147408;3400935772954;3400937576666;3400936524477;3400937386630;3400937124744;3400935772893;3400938972559;3400937397117;3400935835970;3400935836861;3400938763423;3400935818881;3400937625494;3400932935055;3400937384919;3400935837004;3400936744431;3400935823045;3400935836571;3400937366410
CERTOLIZUMAB	3400939732008
CHLORAMBUCIL	3400933699062
CHLORMADINONE	3400930633144;3400936526020;3400937352161;3400930633205;3400937352222;3400936561847;3400936327986;3400936526310;3400936560147;3400936647527;3400933943301;3400936647466
CHLOROQUINE	3400930731000;3400932544455;3400930731178;3400930731000;3400932544455;3400930731178;3400934127953
CHLORPROMAZINE	3400930571187;3400932722426;3400930571248;3400930571477
CHLORTALIDONE	3400937201148;3400937200837;3400932942039;3400932645442;3400937482134;3400932356959
CHLORTETRACYCLINE	3400934213281
CIBENZOLINE	3400932948291;3400933450243;3400932948352
CICLETANINE	3400932874798;3400949490899;3400949491032;3400949725625;3400937152310;3400949726516;3400949725854;3400949726394
CICLOPIROX	3400932557462;3400939501109;3400936864009;3400939501048;3400926615048;3400933041144;3400938822885;3400938824087;3400926615277;3400938822656;3400926615109;3400935233073;3400933418946;3400934124822;3400938823837
CICLOSPORINE	3400934633157;3400934630774;3400934630484;3400934630545;3400934630255;3400934630316;3400934630606;3400934630194
CILAZAPRIL	3400933520243;3400933315719;3400938664157
CIMETIDINE	3400933566029;3400933191047;3400934847028;3400933971335;3400934858604;3400936192430;3400936180024;3400933970673;3400933565596;3400935941701;3400932845293;3400934164743;3400934882555
CINACALCET	3400936515772;3400936516724;3400936515543;3400936516083;3400936516205;3400936516434
CIPROFIBRATE	3400936240377;3400936744721;3400936055834;3400936477940;3400936705111;3400937973939;3400936056084;3400936477360;3400932696888;3400937842907;3400938335682;3400936240209
CIPROFLOXACINE	3400936852921;3400936128446;3400936429345;3400936744899;3400936882737;3400933737535;3400936430815;3400922321288;3400936724730;3400936384309;3400936821125;3400936429635;3400938051933;3400949648290;3400936013032;3400936430983;3400937622882;3400936567122;3400936883567;3400936744950;3400936724679;3400936852860;3400936128385;3400938093636;3400938093346;3400933652395;3400936567290;3400936127326;3400937622714;3400936822764;3400936783751;3400936484405;3400936127784;3400936127036;3400949647170;3400936384248;3400938095418;3400936485693;3400932981359;3400934419409;3400936782860;3400935922779;3400936127555;3400936822306;3400936852921;3400936128446;3400936429345;3400936744899;3400936882737;3400933737535;3400936430815;3400922321288;3400936724730;3400936384309;3400936821125;3400936429635;3400938051933;3400949648290;3400936013032;3400936430983;3400937622882;3400936567122;3400936883567;3400936744950;3400936724679;3400936852860;3400936128385;3400938093636;3400938093346;3400933652395;3400936567290;3400936127326;3400937622714;3400936822764;3400936783751;3400936484405;3400936127784;3400936127036;3400949647170;3400936384248;3400938095418;3400936485693;3400932981359;3400934419409;3400936782860;3400935922779;3400936127555;3400936822306;3400922439716
CITALOPRAM	3400933833619;3400936560666;3400936677272;3400936743250;3400937375344;3400934653728;3400936650886;3400936167766;3400936394643;3400936887701;3400936677623;3400936168138;3400936484634;3400936059047;3400930002353;3400936394063;3400938461633;3400936393523;3400922033167;3400936477131;3400938997682;3400938817164;3400949179886
CLADRIBINE	3400936406742
CLARITHROMYCINE	3400938090734;3400938088953;3400934567001;3400936554634;3400934566929;3400930345191;3400921607598;3400936554283;3400936553743;3400938498134;3400936860445;3400934097416;3400938179316;3400938179484;3400934565519;3400938089615;3400938089554;3400933720445;3400934785351;3400938086713;3400938501308;3400926683344;3400938090215;3400938087314;3400949435722;3400938502718;3400938501995;3400921607659;3400938553635;3400938491739;3400938490497;3400936860155;3400930461327;3400934873621;3400938090673;3400939989099;3400934565458;3400938502138;3400938501537;3400938087253;3400933801380;3400933403119;3400938494112;3400938493160;3400938490619;3400936553392;3400938498943;3400936860094;3400949435203;3400949486298;3400939988610;3400938088373;3400938491500;3400938536546;3400936860384;3400938502596;3400930576151;3400938539219;3400921607079;3400938090154;3400949407927;3400939040677;3400949407408;3400930004371;3400938539448;3400949408528;3400933828066;3400934785290;3400936780330;3400939039848;3400939040509;3400938087772;3400939041919;3400949408986;3400938179255;3400933417246;3400936780569;3400934768781
CLOBAZAM	3400931813736;3400931723806;3400932520732
CLOMIPRAMINE	3400936883628;3400935149466;3400930370155;3400935650917;3400936892613;3400934207839;3400935149695;3400930043462;3400932448432;3400936806917;3400934207259;3400930043523;3400935301413
CLONAZEPAM	3400931539681;3400934428272;3400931705246;3400938164985
CLONIDINE	3400935940698
CLOPAMIDE	3400937180573;3400932337859
CLOPIDOGREL	3400939678726;3400939620763;3400939984247;3400939792200;3400939710525;3400938806229;3400939697536;3400939627809;3400938022377;3400939712475;3400926643881;3400922415703;3400939715896;3400939741802;3400938022209;3400939698946;3400922457116;3400939875156;3400939986487;3400939684239;3400936900639;3400949506842;3400939698427;3400921758733;3400938806397;3400939689951;3400927610165;3400927739309;3400939685069;3400949502998;3400939708744;3400939597898;3400949502301;3400934679162;3400939628349;3400939678726;3400939620763;3400939984247;3400939792200;3400939710525;3400938806229;3400939697536;3400939627809;3400938022377;3400939712475;3400926643881;3400922415703;3400939715896;3400939741802;3400938022209;3400939698946;3400922457116;3400939875156;3400939986487;3400939684239;3400936900639;3400949506842;3400939698427;3400921758733;3400938806397;3400939689951;3400927610165;3400927739309;3400939685069;3400949502998;3400939708744;3400939597898;3400949502301;3400934679162;3400939628349;3400938206371;3400935902269;3400935984814
CLORAZEPATE	3400931507284;3400932430161;3400934758157;3400932429912;3400937701297;3400936298859;3400937701358;3400934758218
CLOTIAZEPAM	3400932606702;3400932606641
CLOXACILLINE	3400930015193;3400931939337;3400927370120;3400932660520
CLOZAPINE	3400935770714;3400935704078;3400927371240;3400935514042;3400927371998;3400927371189;3400935514103;3400935703996;3400935513670;3400927371301;3400927372070;3400935704658;3400935513441;3400935704719;3400935703828;3400935513502
COBICISTAT	3400927426452
CODEINE	3400930710067;3400930776063;3400930775981;3400930710067;3400930776063;3400930775981;3400937483315;3400939755588;3400939755878;3400939024479;3400936289055;3400933316778;3400935748652;3400927562396;3400933180850;3400934866067;3400933275815;3400936102422;3400936894563;3400936105034;3400935748713;3400933304652;3400936289406;3400933319090;3400936102651;3400933220754;3400935770073;3400936289284;3400939023649
COLCHICINE	3400931499558;3400936275096;3400931499558;3400936275096;3400930244906
COLESTYRAMINE	3400931502722
